title,link,source,price,rating,reviews,delivery,extensions
F1 2022 (Formula 1 2022) PC Steam (Global),https://www.steamgamingstore.com/product-page/f1-2022-formula-1-2022%3Fsrsltid%3DAfmBOopVyFXMHip6uBLg1md5MtqBo727dJznbYXgB7rj6s6h8b2-PQZd1eQ&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECKUJ&usg=AOvVaw0U5D4kpb9sqJDafvXCNSnK,SteamGamingStore,₹496.16 + tax,,,Free delivery,
F1 2022,https://www.amazon.in/Standard-PS5-Game-PlayStation-playstation_5/dp/B0B566Z25J%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA28ROUC57OBANU&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECLMJ&usg=AOvVaw3WctQyU3e_4KBw-8jpXuYX,Amazon.in,"₹2,679.00",4.7,338,Free delivery,
Formula 1: The Official History,http://www.flipkart.com/formula-1-official-history/p/itm8af3e4dc89cce%3Fpid%3D9781787394964%26lid%3DLSTBOK9781787394964DFP4Z0%26marketplace%3DFLIPKART%26cmpid%3Dcontent_book_8965229628_gmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECMEJ&usg=AOvVaw2-6fd0AF8YuTTKtJtveCSk,Flipkart,"₹2,099.00",5.0,3,Free delivery,
CodersParadise Pack of 60 F1 Formula One Racing Vinyl Stickers for Laptop ...,https://www.amazon.in/CodersParadise-F1-Formula-Stickers-Journal/dp/B0BRG2V58V%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2JI6ON3DRZMLR&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECM4J&usg=AOvVaw1llmxcO77EHr2JYNyIkwYm,Amazon.in,₹299.00,,,₹40.00 delivery,
Formula One 2022: The World's Bestselling Grand Prix Handbook,https://www.bookswagon.com/book/formula-one-2022-bruce-jones/9781787399112%3Fsrsltid%3DAfmBOor7_FiTfcRgrUnZFj1mT-7Eg45FUlpFEAhPcC0bzEb_RkB7n3GWYJk&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECNsJ&usg=AOvVaw39pzBFqNQ11Tck5We5EwqL,Bookswagon.com,₹962.00,4.9,15,Free delivery,
F1 23 | Standard Edition | PlayStation 5,https://accessworld.in/products/f1-23-standard-edition-playstation-5%3Fvariant%3D42787693625521%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOooFHsSR7MvEbXUakRu_YS6tpBrxmqS3dwuzEvlWMfPzG_HUhwCfc6g&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECOgJ&usg=AOvVaw0dWLYlhWFXjEZ3XnWCY9sJ,Access,"₹4,350.00",,,Free delivery,
F1 2022 (English),https://mx2games.com/product/f1-22-for-ps5/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECPYJ&usg=AOvVaw3JUPwBlUl-LrL9ded0nIAZ,Mx2Games.com,"₹4,499.00",4.7,338,Free delivery,
PUMA Motorsport Unisex Black Mercedes F1 A3ROCAT Printed Sneakers (6) by Myntra,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-F1-A3ROCAT-Printed-Sneakers/14825774/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECIMK&usg=AOvVaw1_5O3KB4nu8Y8sdY5DaeAI,Myntra,"₹4,899.00",,,Free delivery,
2022 Red Bull F1 RB18 #1 Max Verstappen (Scale 1:43) | Bburago,https://scaleartsin.com/products/2022-redbull-racing-rb18-1-max-verstappen-1-43-bburago-scale-model-car-collectible%3Fvariant%3D43816538570981%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOop2tDEhU_MWpamyxi-avLOwp_8J_BXtPEVD1RcKhltlOKzP9GVmW_Y&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECJEK&usg=AOvVaw2U9Uw2Bx6IGcXMmBW5P-ip,Scale Arts In,"₹2,495.00",4.6,39,Free delivery,
Bburago Mercedes F1 W13 E #44 Lewis Hamilton 2022 (1:43),https://model-universe.com/product/bburago-143-mercedes-amg-petronas-w13-f1-lewis-hamilton-44-2022/%3Fsrsltid%3DAfmBOort98hxxx-qwfmayWXxtPaRpmpfbOFtubA7EOoyjx-L0Uojnrh-6XA&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECJ4K&usg=AOvVaw3A4PPKiWCt1fWl_7vwkPFY,Model Universe,"₹1,264.48",4.9,8,"₹1,580.87 delivery",
F1 23 | Standard Edition | PlayStation 4,https://www.amazon.in/F1-23-Standard-PlayStation-4/dp/B0C4T88Z7S%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2GTG1HPYW8M2P&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECKsK&usg=AOvVaw2_NpNpV0TzGd7-ACWnZMOi,Amazon.in,"₹4,245.00",,,Free delivery,
F1 Heroes by Giorgio Terruzzi & Ercole Colombo,https://luxury.tatacliq.com/f1-heroes-by-giorgio-terruzzi-ercole-colombo/p-mp000000016053809%3Fsrsltid%3DAfmBOooJzWSxnKaBCFnk-ZALCLpsdYX26W_qn9LO_tKwSIC3rnoWUSbrm2w&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECLcK&usg=AOvVaw00y0ahyxBtuv0Hq0s2fs8h,TATA CLiQ LUXURY,"₹3,312.00",,,Free delivery,
F1 2023,https://www.mcubegames.in/product/f1-23-ps5%3Fsrsltid%3DAfmBOoq5wBgsic-iYpZoPjol0nYAZuoIWx5Rosap9jby1oPnQhCyRmm9odY&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECMQK&usg=AOvVaw1kIf9-PZu9Xbak0oMUsDY8,Mcube Games,"₹4,499.00",4.3,14,Free delivery,
Formula 1: The Official History: fully revised and updated,http://www.flipkart.com/formula-1-official-history/p/itm8af3e4dc89cce%3Fpid%3D9781802792225%26lid%3DLSTBOK9781802792225WVMXHB%26marketplace%3DFLIPKART%26cmpid%3Dcontent_book_8965229628_gmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECNIK&usg=AOvVaw1wO-hnew5SpBqg_7QOrIwY,Flipkart,"₹2,199.00",4.8,6,Free delivery,
FANATEC CSL DD F1 ESPORTS PREMIUM BUNDLE,https://virtualracinghub.com/products/fanatec-csl-dd-f1-esports-premium-bundle%3Fvariant%3D43395112042738%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoopy72eJ-Zxi6aizx4QHCBQLlWNNyGjnyhiPSnkYoA3Osgl3_Mn8CA&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECN8K&usg=AOvVaw1XNhY1MDZ-fYF964pJU732,virtualracinghub-13ba,"₹2,00,000.00",,,"₹1,500.00 delivery",
F1 A History Of Formula One Racing,https://www.meripustak.com/F1-A-History-Of-Formula-One-Racing-350058%3Fsrsltid%3DAfmBOooeFhPLKIXZy_hVCpYvBTvtSw6dyojyAgfpjsGYFGIkXtHW4XobwVE&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECOwK&usg=AOvVaw26Td2gnNMA879e-xtNLAwN,MeriPustak.com,₹896.00,5.0,1,Free delivery,
F1 2022/23 Collection - Mini Series Matte White / Etched onto each piece,https://worldracecircuits.com/products/f1-2022-collection-acrylic%3Fvariant%3D39761450893446%26currency%3DGBP%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOooZ9rO5m_k3YjSH_Df-t_lFEwIk0mj7MRsVjrMsnb01zSAs4st-eEQ&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECPkK&usg=AOvVaw2PJfWrMbt9dUZMuFZWallS,World Race Circuits,"₹4,745.75",,,+Delivery,
