title,link,source,price,rating,reviews,delivery,extensions
F1 2022 (Formula 1 2022) PC Steam (Global),https://www.steamgamingstore.com/product-page/f1-2022-formula-1-2022%3Fsrsltid%3DAfmBOooiPfwxZJA5ZIwcn9Hh8EALd-iIiaaDZZ9JDMuDnu1MBPbawdPlB0g&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECIoJ&usg=AOvVaw3zJjU9IzEpxA-1tPxvfViA,SteamGamingStore,₹496.15 + tax,,,Free delivery,
F1 2022,https://www.amazon.in/Standard-PS5-Game-PlayStation-playstation_5/dp/B0B566Z25J%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA28ROUC57OBANU&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECJgJ&usg=AOvVaw1w62VSKdBD9SPuIh5Y1m8N,Amazon.in,"₹2,679.00",4.7,338,Free delivery,
F1 22 - Steam Key (Global),https://www.g2g.com/categories/F1-22-PC-Steam-gift-cards/buy/G1672798809631DO%3Fregion_id%3D0f76ac42-3267-4d77-9fba-f9d9d719dac9%26srsltid%3DAfmBOoohe715riyrAFT0uoA-l-7AEvm-9J7mABnXTK2wA5sRvF7OcbgwVHo&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECKUJ&usg=AOvVaw1spJgyddOgz5BfC2VDo0WX,G2G,"₹4,79,567.33 + tax",,,Free delivery,
Formula 1: The Official History,http://www.flipkart.com/formula-1-official-history/p/itm8af3e4dc89cce%3Fpid%3D9781787394964%26lid%3DLSTBOK9781787394964DFP4Z0%26marketplace%3DFLIPKART%26cmpid%3Dcontent_book_8965229628_gmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECLMJ&usg=AOvVaw0NfQCPGZwtJqDqVyfmrH1Q,Flipkart,"₹2,099.00",5.0,3,Free delivery,
CodersParadise Pack of 60 F1 Formula One Racing Vinyl Stickers for Laptop ...,https://www.amazon.in/CodersParadise-F1-Formula-Stickers-Journal/dp/B0BRG2V58V%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2JI6ON3DRZMLR&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECMAJ&usg=AOvVaw0ByNOE_f-Mr2aK4DfzDHwt,Amazon.in,₹299.00,,,₹40.00 delivery,
Formula One 2022: The World's Bestselling Grand Prix Handbook,https://www.bookswagon.com/book/formula-one-2022-bruce-jones/9781787399112%3Fsrsltid%3DAfmBOorN37Wo106eUn41amy0dDOh9WL1tCk0zRo60WCQN6FEdh0Kq7Yxcac&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECM0J&usg=AOvVaw0z7BMn9U8KvDXsmbUIu2lY,Bookswagon.com,₹962.00,4.9,15,Free delivery,
F1 23 | Standard Edition | PlayStation 5,https://accessworld.in/products/f1-23-standard-edition-playstation-5%3Fvariant%3D42787693625521%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOorMn17VukOKAy3jPxcrEHSCyGFLOw31q-A05JNjqY7TABGErbWMmMw&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECNoJ&usg=AOvVaw2FcivmZp0QqowxXqUKLycs,Access,"₹4,350.00",,,Free delivery,
F1 2022 (English),https://mx2games.com/product/f1-22-for-ps5/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECOgJ&usg=AOvVaw3prkfpuuAVHhyeFce9o3rd,Mx2Games.com,"₹4,499.00",4.7,338,Free delivery,
PUMA Motorsport Unisex Black Mercedes F1 A3ROCAT Printed Sneakers (6) by Myntra,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-F1-A3ROCAT-Printed-Sneakers/14825774/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECPUJ&usg=AOvVaw2hcK4rkkqcZLPtrodzvDnH,Myntra,"₹4,899.00",,,Free delivery,
2022 Red Bull F1 RB18 #1 Max Verstappen (Scale 1:43) | Bburago,https://scaleartsin.com/products/2022-redbull-racing-rb18-1-max-verstappen-1-43-bburago-scale-model-car-collectible%3Fvariant%3D43816538570981%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoo9vRBWyUlrpLfV4iL74IF1oCA9WCYK7w8XmpKCNyT_6GGQIf8vb50&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECIMK&usg=AOvVaw2xaOCk6PBLMWaNNKGl0M44,Scale Arts In,"₹2,495.00",4.6,39,Free delivery,
Scuderia Ferrari F1-75 Poster A3 ( 12 X 18 inches ) / SPARKLE ARTBOARD,https://www.frameo.store/products/scuderia-ferrari-f1-75%3Fvariant%3D43058564530368%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOor5uEkcS-kWLzxLYM1YsJWRsQ6lsmfSBUL2CAn7B52ZrzifYZQxcHc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECI8K&usg=AOvVaw2F4HSv-fpHhchOA82f_XJo,Frameo store,₹799.00,,,Free delivery by 22 Aug and free 10-day returns,
Bburago Mercedes F1 W13 E #44 Lewis Hamilton 2022 (1:43),https://model-universe.com/product/bburago-143-mercedes-amg-petronas-w13-f1-lewis-hamilton-44-2022/%3Fsrsltid%3DAfmBOoqOl34KfpzHBe_QeSbVIgujFpLLiGDKGs1AErq5fzD-HAcbtqhbzmw&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECJwK&usg=AOvVaw1RvXVdaKnAs2qohhNd_et4,Model Universe,"₹1,264.01",4.9,8,"₹1,580.28 delivery",
